id,name,nationality,years
0,Expressionism,Italian,1914-1939
1,Abstractionism,Flemish,1850-1950
2,Cubism,Spanish,1900-1920
3,Realism,Italian,1870-1960
4,Impressionism,French,1800-1850
5,Surrealism,Spanish,1900-1920
6,Byzantine Art,Russian,330-1450
7,Post-Impressionism,British,1880-1905
8,Art Nouveau,French,1880-1920
9,Northern Renaissance,Flemish,1500-1610
10,Suprematism,Russian,1890-1930
11,Symbolism,Russian,1850-1900
12,Baroque,Italian,1600-1750
13,Romanticism,British,1800-1840
14,Primitivism,Russian,1850-1900
15,Mannerism,British,1500-1600
16,Proto Renaissance,Italian,1200-1400
17,Early Renaissance,Italian,1400-1500
18,High Renaissance,Italian,1500-1600
19,Neoplasticism,American,1900-1950
